Strain, Name,Species,Lab,Fermentation_Temp_Range_LOW,Fermentation_Temp_Range_HIGH,Apparant_Attenuation_Range_LOW,Apparant_Attenuation_Range_HIGH,  Flocculation, Alcohol_Tolerance, Notes, Best Styles,Substitutions
OLY-024,Belgian Ale A,Ale,Omega,65,78,72,85,High,12,"As one of the few highly flocculent Belgian ale strains, the thought-to-be Ardennes strain makes a great Belgian house. It is brewery friendly, crops easily and has a well rounded flavor profile that balances fruitiness and phenolics. Esters increase with upward temperatures.",,
OLY-052,DIPA Ale,Ale,Omega,65,72,72,80,Medium-Low,11,"A strong fermenter popularly referred to as the “Conan.” This strain is thought to originate from an often-hunted, soaringly-rated Vermont beer. Its peach, apricot, and pineapple notes are steroids for hops, complementing in particular modern fruity hop profiles, like in the hot-topic New England IPA. May produce some diacetyl",,
OLY-057,Hot Head Ale,Ale,Omega,62,98,75,85,Medium-High,11,"A highly flocculent Norwegian ale strain with an astoundingly wide temperature range featuring little change in flavor across the range. Clean enough for both American and English styles, it has a unique honey-like aroma with over-ripe mango. Complementary to modern fruity hops. Temperature control is unnecessary with this strain",,
OLY-217,American Farmhouse,Ale,Omega,68,80,75,85,Low,10,A “coast to coast” blend of a Saison strain from a famous Northeast U.S. brewery and a Brettanomyces strain from a Northwest U.S. brewery. The blend results in a fast developing fruity and funky farmhouse ale.,Farmhouse ales with funk,
OLY-500,Saisonstein's Monster,Ale,Omega,65,78,80,90,Low,11,"Our own genetic hybrid of French Saison (OYL-026) and Belgian Saison (OYL-027). It is versatile, aromatic and attenuative with a silky mouthfeel. It excels in high gravity beers, ferments reliably and thoroughly without pause, and is spicy, complex, tart, dry and crisp. The flavor profile leans toward Belgian Saison (OYL-027) with some bubblegum. More fruit character and fewer phenolics than French Saison (OYL-026), but has its solid fermentation kinetics.",,
OLY028,Belgian Ale W,Ale,Omega,64,78,74,78,Medium,12,"An eruptive top cropper displaying nice fruit and rustic phenolics. This reliable Belgian is thought to be from the famous tripel brewer. A good flocculator with wide temperature range, three famous brewers ferment this on vastly different schedules, showing the versatile outcomes available.",,
S-04,Safale S-04,Ale,Fermentis,59,68,72,75,High,10,"Clean, highly flocculent, and highly attenuative yeast. This yeast is similar to WLP002 in flavor profile, but is 10% more attenuative. This eliminates the residual sweetness, and makes the yeast well suited for high gravity ales. It is also reaches terminal gravity quickly. 80% attenuation will be reached even with 10% ABV beers. If fermentation is colder than 66 diacetyl rest is recommended. Brewery source: Whitbread-dry",,WY1099
S-33,Safale S-33,Ale,Fermentis,59,75,,,Medium,11.5,"A very popular general purpose yeast, displaying both very robust conservation properties and consistent performance. Re-hydrate into yeast cream in a stirred vessel in 10 times its own weight of sterile water or wort at 27C ± 3C.(80F ± 6F) for 15-30 minutes. Stir gently for another 30 minutes and pitch.  Brewery source: Edme Ltd","This yeast produces superb flavour profiles and is used for the production of a varied range of top fermented special beers (Belgian type wheat beers, Trappist, etc.)",
T-58,SafAle T-58,Ale,Fermentis,59,75,,,Medium,11.5,A speciality yeast selected for its estery somewhat peppery and spicy flavour development (Belgian style). Re-hydrate into yeast cream in a stirred vessel in 10 times its own weight of sterile water or wort at 27C ± 3C.(80F ± 6F) for 15-30 minutes. Stir gently for another 30 minutes and pitch.,"Belgian Blond Ale, Belgian Dark Strong Ale, Belgian Dubbel, Belgian Golden Strong Ale, Belgian Specialty Ale, Belgian Trippel, Bière de Garde, Saison.",
US-05,Safale US-05,Ale,Fermentis,60,72,73,77,Medium-Low,11,"This yeast is famous for its clean flavors, balance and ability to be used in almost any style ale. It accentuates the hop flavors and is extremely versatile. Low fruitiness, mild ester production. Normally requires filtration for bright beers. Produces diacetyl and fusels if reproduction stage is over 71 F or excessively underpitched. Poor attenuation if below 60 F. Serial pitching will result in an extremely (88%+) attenuative yeast after 6-7 generations. Mild citrus notes develop with cooler (60-66) fermentations. Brewery source: Sierra Nevada ",Most American Styles,"WLP001, WY1056"
WB-06,Safbrew WB-06,Ale,Fermentis,59,75,,,Low,15,Re-hydrate into yeast cream in a stirred vessel in 10 times its own weight of sterile water or wort at 27C ± 3C.(80F ± 6F) for 15-30 minutes. Stir gently for another 30 minutes and pitch.,"American Wheat or Rye Beer, Dunkelweizen, Fruit Beer, German Hefe-Weizen, Roggenbier (German Rye Beer), Weizen/Weissbier, Weizenbock.",
Windsor,Windsor,Ale,Danstar,64,70,70,75,,,"Windsor yeast from Danstar/Lallemand produces ales with a classic British profile. It is a low attenuating and low to medium flocculating strain unlike other English strains. However, it produces lovely esters during fermentation, and can leave beer with a bit of residual sweetness and body. Perfect for a wide range of British style ales, it has been noted particularly for its use in the production of porters. However, it can be used to make bitter, pale ales, milds and stouts as well! A low attenuating strain that leave a wonderful flavor and full body, this is a good dry alternative for ales where a bit more body and residual sweetness is desired.","British style ales, bitter, pale ales, milds, porters, stouts",
WLP001,California Ale Yeast,Ale,White Labs,68,73,73,80,Medium,15,,Most American Styles,WY1056
WLP002,English Ale Yeast,Ale,White Labs,65,68,63,70,Very High,10,"A classic ESB strain from one of England's largest independent breweries. This yeast will leave a beer very clear, and will leave some residual sweetness. Brewery souce: Fullers.","English style ales including milds, bitters, porters, and English style stouts. ",WY1968
WLP003,German Ale II,Ale,White Labs,65,70,73,80,Medium,10,"Clean, but with more ester production than WLP029. Strong sulfur component will reduce with aging. Does not ferment well under 62F. Brewery source: Weihenstephan W165","Kölsch, Alt, and German style Pale Ales.",WY2575
WLP004,Irish Ale Yeast,Ale,White Labs,65,68,69,74,Medium-High,12,"This is the yeast from one of the oldest stout producing breweries in the world. It produces a slight hint of diacetyl, balanced by a light fruitiness and slight dry crispness. Brewery source: Guinness","Irish ales, stouts, porters, browns, reds and a very interesting pale ale.",WY1098
WLP005,British Ale Yeast,Ale,White Labs,65,70,67,74,High,10,"This yeast is a little more attenuative than WLP002. Like most English strains, this yeast produces malty beers.","English style ales including bitter, pale ale, porter, and brown ale.",WY1187
WLP007,Dry English Ale Yeast,Ale,White Labs,65,70,70,80,Medium-High,12,"Clean, highly flocculent, and highly attenuative yeast. This yeast is similar to WLP002 in flavor profile, but is 10% more attenuative. This eliminates the residual sweetness, and makes the yeast well suited for high gravity ales. It is also reaches terminal gravity quickly. 80% attenuation will be reached even with 10% ABV beers. If fermentation is colder than 66 diacetyl rest is recommended. Brewery source: Whitbread-dry","American Amber, American Brown Ale, American IPA, American Pale Ale, American Porter, Barleywine Ale, Cream Ale, English Brown Ale, English IPA, English Old Ale, English Pale Ale, ESB, Foreign Export Stout, Imperial IPA, Imperial Stout, Irish Dry Stout, Irish Red Ale, Kolsch, Oatmeal Stout, Ordinary Bitter, Scotch Ale (Wee Heavy), Sweet Stout, Wheat Ale",WY1098
WLP008,East Coast Ale Yeast,Ale,White Labs,68,73,70,75,Medium-Low,10,"Our Brewer Patriot strain can be used to reproduce many of the American versions of classic beer styles. Similar neutral character of WLP001, but less attenuation, less accentuation of hop bitterness, slightly less flocculation, and a little tartness. Very clean and low esters. Brewery source: Sam Adams","golden, blonde, honey, pales and German alt style ales",
WLP009,Australian Ale Yeast ,Ale,White Labs,65,70,70,75,High,10,"Produces a clean, malty beer. Pleasant ester character, can be described as bready. Can ferment successfully, and clean, at higher temperatures. This yeast combines good flocculation with good attenuation. Brewery source: Coopers","American Amber, American IPA, American Pale Ale, Cream Ale, English IPA, Imperial IPA, Kolsch, Ordinary Bitter",
WLP010,Anniversary Ale Blend,Ale,White Labs,65,70,75,80,Medium,10,"White Labs started in 1995 with 5 strains available for homebrewers-WLP001, WLP002, WLP004, WLP300, and WLP810. We wanted a blend with all of these strains, but Hefeweizen just doesn't fit. So we have crafted a blend using unique proportions of WLP001 California Ale Yeast, WLP002 English Ale Yeast, WLP004 Irish Ale Yeast, and WLP810 San Francisco Lager Yeast. A truly unique blend that will test a brewers imagination! For a limited time only.  Brewery source:WLP001, WLP002, WLP004, WLP810",,
WLP011,European Ale Yeast,Ale,White Labs,65,70,65,70,Medium,10,"Malty, Northern European-origin ale yeast. Low ester production, giving a clean profile. Little to no sulfur production. Low attenuation helps to contribute to the malty character. Brewery source: Wisenschaftliche Station #338","Alt, Kolsch, malty English ales, and fruit beers",WY1338
WLP013,London Ale Yeast,Ale,White Labs,66,71,67,75,Medium,10," Dry, malty ale yeast. Provides a complex, oakey ester character to your beer. Hop bitterness comes through well.Does not flocculate as much as WLP002 and WLP005. Brewery source: Worthing White Shield","Classic British pale ales, bitters, and stouts.",WY1028
WLP022,Essex Ale Yeast ,Ale,White Labs,66,70,71,76,Medium-High,10,"Flavorful British style yeast. Drier finish than many British ale yeast. Produces slightly fruity and bready character. Good top fermenting yeast strain, is well suited for top cropping (collecting). Does not flocculate as much as WLP002 and WLP005. Brewery source: Ridley's Ale","Classic British milds, pale ales, bitters, and stouts. ",
WLP023,Burton Ale Yeast,Ale,White Labs,68,73,69,75,Medium,10,"From the famous brewing town of Burton upon Trent, England, this yeast is packed with character. It provides delicious subtle fruity flavors like apple, clover honey and pear.  Brewery source: Henley of Thames","All English styles, IPA's, bitters, and pales. Excellent in porters and stouts.",WY1275
WLP025,Southwold Ale Yeast,Ale,White Labs,66,69,68,75,High,10,"From Suffolk county, England. This yeast produces complex fruit and citrus flavors. Slight sulfur is produced during fermentation, which will disappear with aging. Brewery source: Adnam's?",Great for British bitters and pale ales. ,WY1335
WLP026,Premium Bitter,Ale,White Labs,67,70,70,75,Medium,10,"From Staffordshire, England. Fermentation gives a mild, but complex, estery character. Ferments strong and dry. Good for high gravity beers. Brewery source: Marston's","English style bitters, milds, ESBs, porters, stouts, and barley wines.",
WLP028,Edinburgh Scottish Ale Yeast,Ale,White Labs,65,70,70,75,Medium,12,"Scotland is famous for its malty, strong ales. This yeast can reproduce complex, flavorful Scottish style ales. This yeast can be an everyday strain, similar to WLP001. Hop character is not muted with this strain, as it is with WLP002.Ferments slow under 60f but produces signature smokey ester produces excessive diacetyl when fermented over 65f, recommended diacetyl rest  Brewery source: McEwans",All Scottish Styles,WY1728
WLP029,German Ale/ Kölsch Yeast,Ale,White Labs,65,69,72,78,Medium,10,"Does not do well under 62f unless already activeFrom a small brewpub in Cologne, Germany. Accentuates hop flavors, similar to WLP001. The slight sulfur produced during fermentation will disappear with age and leave a super clean, lager like ale. Brewery source: PJ Fruh",Kölsch and Alt style beers. Good for light beers like blond and honey.,
WLP036,Dusseldorf Alt Yeast,Ale,White Labs,65,69,65,72,Medium,10,"Traditional Alt yeast from Dusseldorf, Germany. Produces clean, slightly sweet alt beers. Does not accentuate hop flavor as WLP029 does. Brewery source: Dusseldorf (Zum Uerige)","American Wheat or Rye Beer, Berliner Weisse, Bière de Garde, Düsseldorf Altbier, Kölsch,Northern German Altbier",WY1007
WLP037,Yorkshire Square ,Ale,White Labs,65,69,68,72,High,12,"This yeast produces a beer that is malty, but well-balanced. Expect flavors that are toasty with malt-driven esters. Brewery source: Samuel Smith","English pale ales, English brown ales, and mild ales.",
WLP038,Manchester Ale Yeast ,Ale,White Labs,65,70,70,74,Medium-High,12,"Top-fermenting strain that is traditionally good for top-cropping. Moderately flocculent with a clean, dry finish. Low ester profile, producing a highly balanced English-style beer. Brewery source: New Castle","English Brown Ale, English IPA, English Old Ale, English Pale Ale, ESB, Ordinary Bitter",
WLP039,East Midlands (Nottingham) Ale Yeast ,Ale,White Labs,66,70,73,82,Medium-High,10,British style ale yeast with a very dry finish. Medium to low fruit and fusel alcohol production. Well suited for top cropping. ,"pale ales, ambers, porters, and stouts.",
WLP041,Pacific Ale Yeast,Ale,White Labs,65,68,65,70,High,10,"A popular ale yeast from the Pacific Northwest. The yeast will clear from the beer well, and leave a malty profile. More fruity than WLP002,A popular ale yeast from the Pacific Northwest. The yeast will clear from the beer well, and leave a malty profile. More fruity than WLP002,  Brewery source: Red Hook? ","English style milds, bitters, IPA, porters, and stouts.",
WLP051,California Ale V Yeast,Ale,White Labs,66,70,70,75,Medium-High,12,"From Northern California. This strain is more fruity than WLP001, and slightly more flocculent. Attenuation is lower, resulting in a fuller bodied beer than with WLP001.  Brewery source: Anchor Liberty","American Amber, American Brown Ale, American IPA, American Pale Ale, American Porter, Barleywine Ale, Cream Ale, Dusseldorf Altbier, English Brown Ale, English IPA, English Old Ale, English Pale Ale, ESB, Foreign Export Stout, Imperial IPA, Imperial Stout, Irish Dry Stout, Irish Red Ale, Kolsch, Oatmeal Stout, Ordinary Bitter, Scotch Ale (Wee Heavy), Sweet Stout, Wheat Ale",WY1272
WLP060,American Ale Yeast Blend,Ale,White Labs,68,72,72,80,Medium,12,"Our most popular yeast strain is WLP001, California Ale Yeast. This blend celebrates the strengths of California- clean, neutral fermentation, versatile usage, and adds two other strains that belong to the same 'clean/neutral' flavor category. The additional strains create complexity to the finished beer. This blend tastes more lager like than WLP001. Hop flavors and bitterness are accentuated, but not to the extreme of California. Slight sulfur will be produced during fermentation. Brewery source:WLP001, WLP051, WLP810","American Amber, American Brown Ale, American IPA, American Pale Ale, American Porter, Barleywine Ale, Cream Ale, Dusseldorf Altbier, English Brown Ale, English IPA, English Old Ale, English Pale Ale, ESB, Foreign Export Stout, Imperial IPA, Imperial Stout, Irish Dry Stout, Irish Red Ale, Kolsch, Oatmeal Stout, Ordinary Bitter, Scotch Ale (Wee Heavy), Sweet Stout, Wheat Ale",
WLP072,French Ale Yeast ,Ale,White Labs,63,73,68,75,Medium-High,10,"Clean strain that complements malt flavor. Low to moderate esters, when fermentation temperature is below 70F. Moderate plus ester character over 70F. Low diacetyl production. Brewery source: Brasserie Duyck?","Biere de Garde, blond, amber, brown and specialty beers",
WLP076,Old Sonoma Ale Yeast,Ale,White Labs,66,70,70,74,Medium,10,From a historic brewery in Northern California. This strain was embraced by the early pioneers of craft beer in America and is ideal for those seeking to use a traditional British-style yeast. ,"Pale ales, Porters, Stouts",
WLP080,Cream Ale Yeast Blend,Ale,White Labs,65,70,75,80,Medium,12,"This is a blend of ale and lager yeast strains. The strains work together to create a clean, crisp, light American lager style ale. A pleasing estery aroma may be perceived from the ale yeast contribution. Hop flavors and bitterness are slightly subdued. Slight sulfur will be produced during fermentation, from the lager yeast.","Cream Ale, Dusseldorf Altbier, Kolsch, Ordinary Bitter",
WLP085,English Ale Blend,Ale,White Labs,68,72,69,76,Medium-High,10,"A blend of British ale yeast strains, designed to add complexity to your ale. Moderate fruitiness and mineral-like, with little to no sulfur. Drier than WLP002 and WLP005, but with similar flocculation properties. ","English Pale Ale, Bitter, Porter, Stout, and India Pale Ale.",
WLP090,San Diego Super Yeast,Ale,White Labs,65,68,76,83,Medium-High,15,"A super clean, super-fast fermenting strain. A low ester-producing strain that results in a balanced, neutral flavor and aroma profile. Alcohol-tolerant. Similar to California Ale Yeast WLP001 but it generally ferments faster.","American Amber, American Brown Ale, American IPA, American Pale Ale, American Porter, Barleywine Ale, Cream Ale, Dusseldorf Altbier, English Brown Ale, English IPA, English Old Ale, English Pale Ale, ESB, Foreign Export Stout, Imperial IPA, Imperial Stout, Irish Dry Stout, Irish Red Ale, Kolsch, Oatmeal Stout, Ordinary Bitter, Scotch Ale (Wee Heavy), Sweet Stout, Wheat Ale",
WLP095,Burlington Ale Yeast,Ale,White Labs,67,70,73,78,Medium,12,This yeast is great in Northeastern style IPAs because it throws a little personality and body into your beer. Esters are higher than WLP001 and this strain has been known to result in more diacetyl increasing the temperature at the end of fermentation is suggested.,"American IPA, American Pale Ale, English IPA, English Pale Ale",
WLP099,Super High Gravity Ale Yeast,Ale,White Labs,65,69,80,80,Medium,15,"Can ferment up to 25% alcohol. From England. Produces ester character that increases with increasing gravity. Malt character dominates at lower gravities. Slow ferment, ferment low or risk excessive bad yeast esters.  Brewery source: Thomas Hardy",Extreme beers,
WLP250,American Pub Ale Yeast,Ale,White Labs,58,73,75,75,Medium-High,10,"...really nice body on the beer. It shows mildly fruity ale flavors on beers that don't have alot of ingredient induced flavor. We also noticed a flavor accentuation, meaning that it seemed to make hoppy beers a little more hoppy and malty beers a little more malty.","The Rebel Brewer AMERICAN PUB ALE is a great strain for just about any and all American Ales, making it the perfect house strain. We have tested it on everything from a Rye IPA to a Blonde ale and everything in between, we even brewed a California Common with it.",
WLP299,Persica (Columbia) Ale Yeast,Ale,White Labs,68,78,70,80,Medium-High,12,"From the Pacific Northwest, this strain is fruitier than WLP001 with peach/apricot notes with a slightly lower attenuation. This strain has good diacetyl reduction capability. Persica owes its name to the Latin malum persicum, Persian apple, or as it is called these days, Peach. This blonde ale features Austin Homebrew Supply's proprietary White Labs Persica Ale yeast. This yeast produces pleasant peach and apricot notes, the outcome of which is a very drinkable and refreshing brew.",Blonde ale,
WLP300,Hefeweizen Ale Yeast,Ale,White Labs,68,72,72,76,Low,10,"This famous German yeast is a strain used in the production of traditional, authentic wheat beers. It produces the banana and clove nose traditionally associated with German wheat beers and leaves the desired cloudy look of traditional German wheat beers. Brewery source: Weihenstephan 68",German Wheat Beer,WY3068
WLP320,American Hefeweizen Ale Yeast,Ale,White Labs,65,69,70,75,Low,10,"This yeast is used to produce the Oregon style American Hefeweizen. Unlike WLP300, this yeast produces a very slight amount of the banana and clove notes. It produces some sulfur, but is otherwise a clean fermenting yeast, which does not flocculate well, producing a cloudy beer. Brewery source: Zum Uerige",American Wheat Ale,
WLP351,Bavarian Weizen Yeast ,Ale,White Labs,66,70,73,77,Low,10,"This strain produces a classic German-style wheat beer, with moderately high, spicy, phenolic overtones reminiscent of cloves. Former Yeast Lab W51 yeast strain, acquired from Dan McConnell. Brewery source: Weihenstephan 175","Hefeweizen, Belgian Wit","WY3638, Yeast Lab W51"
WLP380,Hefeweizen IV Ale Yeast ,Ale,White Labs,66,70,73,80,Low,10,"Large clove and phenolic aroma and flavor, with minimal banana. Refreshing citrus and apricot notes. Crisp, drinkable hefeweizen. Less flocculent than WLP300, and sulfur production is higher.  Brewery source: Weihenstephan 66?","Hefeweizen, Belgian Wit",WY3333
WLP400,Belgian Wit Ale Yeast,Ale,White Labs,67,74,74,78,Medium,10,"Slightly phenolic and tart, this is the original yeast used to produce Wit in Belgium. Brewery source: Hoegaarden","For use in rice-based fermentations. Traditional strain used in Ginjo-shu production because of the yeast’s development of high fragrance components. Also a fairly strong fermenter, but producing a foamless fermentation",WY3944
WLP410,Belgian Wit II Ale Yeast ,Ale,White Labs,67,74,70,75,Medium,10,"Less phenolic than WLP400, and more spicy. Will leave a bit more sweetness, and flocculation is higher than WLP400. Brewery source: Moortgat Brouwerij","Belgian Wit, spiced Ales, wheat Ales, and specialty Beers.",
WLP500,Trappist Ale Yeast,Ale,White Labs,65,72,75,80,Medium-Low,15,"From one of the few remaining Trappist breweries remaining in the world, this yeast produces the distinctive fruitiness and plum characteristics. Brewery source: Chimay",Belgian Blonde/Dubbel/Trippel/Golden Strong/Quadrupel,WY1214
WLP510,Belgian Bastogne Ale Yeast ,Ale,White Labs,66,72,74,80,Medium,15,"A high gravity, Trappist style ale yeast. Produces dry beer with slight acidic finish. More ‘clean’ fermentation character than WLP500 or WLP530. Not as spicy as WLP530 or WLP550. Brewery source: Orval",Belgian Blonde/Dubbel/Trippel/Golden Strong/Quadrupel,
WLP515,Antwerp Ale Yeast ,Ale,White Labs,67,70,73,80,Medium,10,"Clean, almost lager like Belgian type ale yeast. Good for Belgian type pales ales and amber ales, or with blends to combine with other Belgian type yeast strains. Biscuity, ale like aroma present. Hop flavors and bitterness are accentuated. Slight sulfur will be produced during fermentation, which can give the yeast a lager like flavor profile. Brewery source: De Koninck",Belgian Pale/Amber,
WLP530,Abbey Ale Yeast,Ale,White Labs,60,85,75,88,Medium-High,15,"Used to produce Trappist style beers. Similar to WLP500, but is less fruity and more alcohol tolerant (up to 15% ABV).  More ester development via underpitching and/or higher fermentation temperature. 80+ Fermentation temperature results in aggressive, highly attenuative yeast character. Brewery source: Westmalle",Belgian Blonde/Dubbel/Trippel/Golden Strong/Quadrupel,WY3787
WLP540,Abbey IV Ale Yeast ,Ale,White Labs,66,72,74,82,Medium,15,"An authentic Trappist style yeast. Use for Belgian style ales, dubbels, tripples, and specialty beers. Fruit character is medium, in between WLP500 (high) and WLP530 (low). Less estery and more subtle for Belgian strain Conditions beer very fast. Clean at the low end, and supposedly is pretty fruity at the warm end. Vigorous fertmenter. Brewery source: Rochefort",Belgian Blonde/Dubbel/Trippel/Golden Strong/Quadrupel,WY1762
WLP545,Belgian Strong Ale ,Ale,White Labs,66,72,78,85,Medium,15,"From the Ardennes region of Belgium, this classic yeast strain produces moderate levels of ester and spicy phenolic character. Typically results in a dry, but balanced finish. Brewery source: possibly De Bocq? --Sacc","Belgian dark strongs, Abbey Ales, and Christmas beers.",
WLP550,Belgian Ale Yeast,Ale,White Labs,68,78,78,85,Medium,12,"Phenolic and spicy flavors dominate the profile, with less fruitiness then WLP500.Brewery source: Achouffe","Saisons, Belgian Ales, Belgian Reds, Belgian Browns, and White Beers",WY3522
WLP560,Classic Saison Yeast Blend,Ale,White Labs,68,78,70,75,Medium,10,"This Saison blend that marries both earthy, spicy notes with fruity ester production. Slight clove-like characteristic in finished beer flavor and aroma.",Saisons,AHS
WLP565,Belgian Saison I Yeast,Ale,White Labs,68,90,65,75,Medium,10,"Classic Saison yeast from Wallonia. It produces earthy, peppery, and spicy notes. Slightly sweet. With high gravity saisons, brewers may wish to dry the beer with an alternate yeast added after 75% fermentation. Higher temperatures will help yeast finish out Brewery source: Saison Dupont (old strain)",Saisons,NOT WY3724
WLP566,Belgian Saison II Yeast ,Ale,White Labs,68,90,78,85,Medium,10,"Saison strain with more fruity ester production than with WLP565. Moderately phenolic, with a clove-like characteristic in finished beer flavor and aroma. Ferments faster than WLP565. Higher temperatures will help yeast finish out. Brewery source: Vielle Provision Saison Dupont (new strain)",Saisons,
WLP568,Belgian Style Saison Ale Yeast Blend,Ale,White Labs,70,80,70,80,Medium,10,"This blend melds Belgian style ale and saison strains. The strains work in harmony to create complex, fruity aromas and flavors. The blend of yeast strains encourages complete fermentation in a timely manner. Phenolic, spicy, earthy, and clove like flavors are also created. Brewery source: WLP 565, WLP 566?","Belgian Blond, Belgian Dark Strong Ale, Belgian Table Beer, Belgian Wit, Beier de Garde, Dubbel, Saison, Trippel",
WLP570,Belgian Golden Ale Yeast,Ale,White Labs,68,75,73,78,Low,15,"From East Flanders, versatile yeast that can produce light Belgian ales to high gravity Belgian beers (12% ABV). A combination of fruitiness and phenolic characteristics dominate the flavor profile. Some sulfur is produced during fermentation, which will dissipate following the end of fermentation. Attenuation increases with less crystal malts and more sugar to get the classic Duvel character. Brewery source: Duvel",Belgian Golden Strong,WY1388
WLP575,Belgian Style Ale Yeast Blend,Ale,White Labs,68,75,74,80,Medium,12,"A blend of Trappist type yeast (2) and one Belgian ale type yeast. This creates a versatile blend that can be used for Trappist type beer, or a myriad of beers that can be described as 'Belgian type'. Brewery source: WLP500, WLP530, WLP550","Belgian Blond, Belgian Dark Strong Ale, Belgian Table Beer, Belgian Wit, Beier de Garde, Dubbel, Saison, Trippel",
WLP585,Belgian Saison III Yeast,Ale,White Labs,68,75,70,74,Medium-Low,10,"Produces beer with a high fruit ester characteristic, as well as some slight tartness. Finishes slightly malty, which balances out the esters. Also produces low levels of clovey phenolics.",Great yeast choice for a summer Saison that is light and easy-drinking.,
WLP590,French Saison Ale Yeast,Ale,White Labs,69,75,73,80,Medium,10,"A unique yeast strain that creates farmhouse-style beers with a phenolic “bite” and moderate ester compounds. Producing a cleaner aroma profile than other farmhouse styles, this yeast is versatile and highly attenuating.","Ale, Belgians, Wine, Mead, Cider",
WY1007,German Ale,Ale,Wyeast,55,68,73,77,Low,11,"From Dusseldorf (Zum Uerige) Brewery. Traditional Alt yeast from Dusseldorf, Germany. Produces clean, slightly sweet alt beers. Does not accentuate hop flavor as WLP029 does. A true top cropping yeast with low ester formation.  Fermentation at higher temperatures may produce mild fruitiness.  Beers mature rapidly, even when cold fermentation is used.  Low or no detectable diacetyl. ","Pilsners, Lagers",WLP036
WY1010,American Wheat,Ale,Wyeast,58,74,74,78,Low,10,"A strong fermenting, true top cropping yeast that produces a dry, slightly tart, crisp beer. Ideal for beers when a low ester profile is desirable. Brewery source: Widmer vis Zum Uerige","American Wheat or Rye Beer, Cream Ale, Dusseldorf Altbier, Kolsch, Northern German Altbier",
WY1026-PC,PC British Cask Ale,Ale,Wyeast,63,72,74,77,Medium-High,9,Possibly from Oranjeboom? Dutch Brewery A great yeast choice for any cask conditioned British Ale and one that is especially well suited for IPAs and Australian ales. Produces a nice malt profile and finishes crisp & slightly tart. Low to moderate fruit ester producer that clears well without filtration.,"Blonde Ale, English IPA, Extra Special/Strong Bitter (English Pale Ale), Southern English Brown, Special/Best/Premium Bitter, Standard/Ordinary Bitter",
WY1028,London Ale,Ale,Wyeast,60,72,73,77,Medium-Low,11,"Worthington White Shield Brewery. A rich, minerally profile that is bold and crisp with some fruitiness. Often used for higher gravity ales and when a high level of attenuation is desired. ","Brown Porter, Dry Stout, English Barleywine, Foreign Extra Stout, Mild, Northern English Brown Ale, Old Ale, Robust Porter, Russian Imperial Stout",WLP013
WY1056,American Ale,Ale,Wyeast,60,72,73,77,Medium-Low,11,"This yeast is famous for its clean flavors, balance and ability to be used in almost any style ale. It accentuates the hop flavors and is extremely versatile.  Low fruitiness, mild ester production.  Normally requires filtration for bright beers. Produces diacetyl and fusels if reproduction stage is over 71f or excessively underpitched. Poor attenuation if below 60f. Serial pitching will result in an extremely (88%+) attenuative yeast after 6-7 generations.  Mild citrus notes develop with cooler (60-66) fermentations. Brewery source: Sierra Nevada","American Amber Ale, American Barleywine, American Brown Ale, American IPA, American Pale Ale, American Stout, Braggot, Brown Porter, Christmas/Winter Specialty Spiced Beer, Cream Ale, Dry Stout, Fruit Beer, Imperial IPA, Irish Red Ale, Other Smoked Beer, Russian Imperial Stout, Spice, Herb, or Vegetable Beer, Strong Scotch Ale, Wood-Aged Beer",WLP001
WY1087-PC,Wyeast Bohemian Ale Blend,Ale,Wyeast,64,72,71,75,Medium-High,11,"This is a blend of the best ale strains to provide quick starts, good flavor, and good flocculation. The profile of these strains provides a balanced finish for British and American style ales.","American Pale Ale, American Amber Ale, American Brown Ale, American Stout, American IPA, Double IPA, American Barleywine, American Porter, Oatmeal Stout, Sweet Stout, Imperial Stout, Foreign Extra Stout, Cream Ale",
WY1099,Whitbread Ale,Ale,Wyeast,64,75,68,72,Medium-High,10,"A mildly malty and slightly fruity fermentation profile. It is less tart and dry than Wyeast 1098 British Ale. With good flocculation characteristics, this yeast clears well without filtration. Low fermentation temperatures will produce a clean finish with a very low ester profile. Brewery Source: Whitbread","Blonde Ale, English IPA, Extra Special/Strong Bitter (English Pale Ale), Oatmeal Stout, Southern English Brown, Special/Best/Premium Bitter, Standard/Ordinary Bitter, Sweet Stout",S04
WY1203-PC,Burton IPA Blend,Ale,Wyeast,64,74,71,74,Medium-High,10,The revival of interest in historic and classic English IPA styles calls for a specialized yeast. This blend highlights hop bitterness and aroma while still allowing full expression of authentic water profiles and pale malts. Low to moderate ester level can be manipulated through fermentation temperature and pitching rate. Palate finish is typically neutral to mildly fruity with some maltiness. Good flocculation characteristics make this an excellent candidate for cask conditioning.,"English IPA, Ordinary Bitter, Best Bitter, Strong Bitter, American Porter, Foreign Extra Stout, Australian Sparkling Ale",
WY1214,Belgian Abbey,Ale,Wyeast,68,78,74,78,Medium-Low,12,"A widely used and alcohol tolerant Abbey yeast that is suitable for a variety of Belgian style ales. This strain produces a nice ester profile as well as slightly spicy alcohol notes.. It can be slow to start; however, it attenuates well.  Brewery Source: Chimay","Belgian Dark Strong Ale, Belgian Dubbel, Belgian Specialty Ale, Belgian Tripel, Christmas/Winter Specialty Spiced Beer, Witbier",WLP500
