Grain,Origin,Type,Manufacturer ,Must Mash?,"Color Low 
(Lovibond)","Lovibond_High 
(Lovibond)",SRM_Low,SRM_High,Power,Protein Total,Extract FG Min,Potential,% Moisture,Usage Max,Description,Source
"Triticale, Flaked",United States,Specialty ,Briess,Yes,2.5,2.5,2.6265,2.6265,0,13.5,71,1.0328091,7,10,"Triticale Flakes is a hybrid of wheat and rye. It carries the flavor components of both spice rye and nutty wheat. Use up to 30% as a cereal adjunct in the total grist to create Rye, Belgian Wit, Amber Ales and multigrain beers. Start at 5-10% and increase in increments of 5% because of the concentrate flavor.",http://www.brewingwithbriess.com/Assets/PDFs/Briess_PISB_BrewersTriticaleFlakes.pdf
"Wheat Malt, White",United States,Specialty/Adjunct,Briess,Yes,2.5,2.5,2.6265,2.6265,160 L,12,85,1.0392785,4,50,"FLAVOR: Creamy, Sweet, Malty, Wheat, Floury Imparts malty flavor not obtainable from raw wheat. Use with rice hulls to improve lautering and help prevent stuck mash. White Wheat Malt contributes to foam production and foam stability.",
Special B,Belgium,Crystal,Castle Maltiing,No,98.1,120.6,132.12626,162.60476,,,77,1.0355817,6,10,"Mycket speciell belgisk karkellmalt.Ger en djupt röd till mörkt brun-svart färg och fylligare kropp, unik rik maltig smak och arom av russin, nötter och plommon. Används tex till Abbey Ales.",
Castle Pilsner Malt 6RS,United Kingdom,Base,Castle Malting,Yes,1.4,1.8,1.13644,1.67828,300 WK,11.5,80,1.036968,4.5,50,"An excellent base malt for pale lager, Belgian ales, and wheat beers. Pale color, low in protein, and results in a remarkably clean and light finished product.",http://www.northernbrewer.com/belgian-pilsner-malt
Château Pale Ale,Belgium,Base,Castle Malting,Yes,3.2,4.3,3.57472,5.06478,250 WK,11.5,80,1.036968,4.5,80,"Belgian light-colored base malt. Kilning at up to 194 – 203°. Usually used as a base malt or in combination with Pilsen 2RS malt to impart a richer malt flavor and additional color.  Being deeper in color, this malt can add a golden hue to wort.  In conjunction with being used with strong yeasts, this malt can produce amber and bitter beers as well. Château Pale Ale  malt is kilned longer and usually better modified, providing a more pronounced flavor than Pilsen 2RS.  The enzymatic activity of Château Pale Ale  malt is sufficient when used with large proportions of non-enzymatic specialty malt. Suitable for pale ales, bitter beers and most traditional English beer styles.",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_paleale.pdf
Château Pilsen 2RS,Belgium,Base,Castle Malting,Yes,1.5,1.9,1.2719,1.81374,250 WK,11.2,80.5,1.03719905,4.5,100,"The lightest in color, this malt is well modified and can be easily mashed with a single-temperature infusion.  Castle’s Château Pilsen malt carries a strong, sweet flavor and contains enough enzymatic power to be used as a base malt.  Suitable for all beer styles",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_pilsen2rs.pdf
Château Vienna,Belgium,Base,Castle Malting,Yes,2.1,3.2,2.08466,3.57472,,11.5,80,1.036968,4.5,100,"Belgian Vienna base malt. Lightly kilned at up to 185 – 194º F with shorter “cure” duration. Imparts a richer flavor of malt and grain than Pilsen malt and adds subtle aromas of caramel and toffee. Château Vienna malt is kilned at slightly higher temperatures than Pilsen Malt. As a result Château Vienna malt gives a deeper golden color to the beer increasing at the same time its body and fullness. Due to the higher kilning temperature, the enzyme activity of Château Vienna malt is slightly lower than that of Pilsen Malt. Nevertheless, our Château Vienna malt has a sufficient enzymatic activity to be used in combination with large proportion of specialty malts. Suitable for all beer styles, in particular, Vienna lager.",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_vienna.pdf
Château Biscuit,Belgium,Color,Castle Malting,No,17.4,21.2,22.81004,27.95752,0,11.5,77,1.0355817,4.7,25,"Château Biscuit™ malt produces a very pronounced toasty finish in the beer. Imparts a warm bread and biscuit-like aroma and flavor. Promotes a light to medium warm brown color of the mash. This malt is used to improve the roasted flavor and aroma that characterize ales and lagers lending the subtle properties of black and chocolate malts. No enzymes. Must be mashed with malts having a surplus of diastatic power. Suitable for any style, especially English ales, brown ales and porters",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_biscuit.pdf
Château Biscuit Nature,Belgium,Color,Castle Malting,No,17.4,21.2,22.81004,27.95752,0,11.5,77,1.0355817,4.6,25,"Château Biscuit Nature™ malt produces a very pronounced toasty finish in organic beers. Imparts a warm bread and biscuit-like aroma and flavor. Promotes a light to medium warm brown color of the mash. This organic malt is used to improve the roasted flavor and aroma that characterize ales and lagers lending the subtle properties of black and chocolate malts. No enzymes. Must be mashed with malts having a surplus of diastatic power. Suitable in all special organic beers and as well for organic English ales, organic brown ales and organic porters.",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_biscuitnature.pdf
Château Melano,Belgium,Color,Castle Malting,Yes,28.7,32.4,38.11702,43.12904,0,11.5,78,1.0360438,4.5,20,"Belgian Melanoidin (Melano) malt. Special germination process. Kilned in a special way at up to266  °F. Château Melano malt is slowly dried as the temperature is raised, allowing the melanoidins to form as part of the kilning process.Very aromatic, with intense malty flavor. Gives fullness and roundness to the beer color, improves flavor stability and promotes red color in your beer. Gives beer fuller body. This specialty variety has been described as “turbo Munich”. Amber and dark beers, Scottish type and red colored beers like Scottish ales, amber ales, red ales, and Irish ales. Up to 20% of the mix.",https://bsgcraftbrewing.com/ch%C3%A2teau-melano
Château Melano Light,Belgium,Color,Castle Malting,Yes,14.1,17.1,18.33986,22.40366,0,11.5,79,1.0365059,4.5,20,"Belgian Melanoidin (Melano) malt. Special germination process. Kilned in a special way at up to  266 °F. Château Melano malt is slowly dried as the temperature is raised, allowing the melanoidins to form as part of the kilning process. Very aromatic, with intense malty flavor. Gives fullness and roundness to the beer color, improves flavor stability and promotes red color in your beer. Gives beer fuller body. This specialty variety has been described as “turbo Munich”. Amber and dark beers, Scottish type and red colored beers like Scottish ales, amber ales, red ales, and Irish ales. Up to 20% of the mix.",https://bsgcraftbrewing.com/ch%C3%A2teau-melano-light
Château Monastique,Belgium,Color,Castle Malting,Yes,15.9,18.9,20.77814,24.84194,0,11.5,78,1.0360438,4.5,25,"Château Monastique malt is a more toasted form of pale malt. Gives a strong taste of cooked bread, nuts and fruit. Château Monastique malt has a bitter flavor which mellows on ageing, and can be quite intensely flavored. Château Monastique malt is typically used as a small proportion of the grist in the production of beers requiring some substantial depth of color. Suitable for pale ale beers, Abbey beers, brown porters and special beers, and in a diverse range of British beers. Up to 10% of the mix.",https://bsgcraftbrewing.com/chateau-25kg
Château Munich Light,Belgium,Color,Castle Malting,Yes,5.8,6.6,7.09668,8.18036,150 WK,11.5,80,1.036968,4.5,60,"Rich, golden malt. Provides a modest color increase toward a nice, golden-orange color. Adds a pronounced grainy malty flavor to many beer styles without affecting the foam stability and body. It is also used in small quantities in combination with Château Pilsen 2RS to produce light color beers, improving the malty flavor and giving the beer a richer color. Suitable  for pale ales, ambers, browns, strong and dark beers, bocks. Up to 60% of the mix.",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_munichlight.pdf
Château Cara Blonde™,Belgium,Crystal,Castle Malting,No,6,9.6,7.3676,12.24416,0,11.5,78,1.0360438,8.5,30,"Château Cara Blond™ imparts a mild caramel-sweet aroma adding golden color to beer. A distinguishing characteristic of all caramel malts is glassiness. This glassy endosperm creates the desirable non-fermentable components that give true caramel malt the ability to contribute mouthfeel, head retention, and extended beer stability. Suitable for light lagers, light ales, with little or no alcohol, white beers. Up to 20% of the mix.",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_carablond.pdf
Château Cara Gold Nature,Belgium,Crystal,Castle Malting,No,41.8,49.3,55.86228,66.02178,0,11.5,74,1.0341954,6,20,"Château Cara Gold Nature™ organic malt imparts a strong caramel-sweet aroma and unique toffee-like flavor, adding a rich amber color to organic beers. A distinguishing characteristic of all caramel malts is glassiness. This glassy endosperm creates the desirable non-fermentable components that give true caramel malt the ability to contribute mouthfeel, head retention, and extended beer stability. Organic brown and dark beers",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_caragoldnature.pdf
Château Cara Gold™,Belgium,Crystal,Castle Malting,No,41.8,49.3,55.86228,66.02178,0,11.5,78,1.0360438,8,20,"Château Cara Gold™ malt imparts a strong caramel-sweet aroma and unique toffee-like flavor, adding a rich amber color to beer. A distinguishing characteristic of all caramel malts is glassiness. This glassy endosperm creates the desirable non-fermentable components that give true caramel malt the ability to contribute mouthfeel, head retention, and extended beer stability. Suitable in brown and dark beers.",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_caragold.pdf
Château Cara Ruby™,Belgium,Crystal,Castle Malting,No,17.4,21.2,22.81004,27.95752,0,11.5,78,1.0360438,4.5,15,"Château Cara Ruby™ malt imparts a rich caramel-sweet aroma and a toffee-like flavor, adding light amber to reddish color to beer. A distinguishing characteristic of all caramel malts is glassiness. This glassy endosperm creates the desirable non-fermentable components that give true caramel malt the ability to contribute mouthfeel, head retention, and extended beer stability. Suitable in brown Ales, Brune des Flandres, Bocks, and Scottish Ales.",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_cararuby.pdf
Château Special Belgium™,Belgium,Crystal,Castle Malting,Yes,98.1,120.6,132.12626,162.60476,0,11.5,77,1.0355817,4.5,10,"Château Special Belgium™ can be used to produce a deep red to dark brown-black color and fuller body. Château Special Belgium™ brings forth unique flavors and aromas, making it a powerhouse specialty malt. It gives intense color and raisin-like flavors while imparting a rich malty taste and a hint of nut and plum flavor as well. May substitute Chocolate and Black malt if bitterness is not desired.Suitable in Belgian ales, dubbles, brown ales and dopplebocks.",https://bsgcraft.com/resources/Product_Sheets/Castle/SPECS_CHATEAU_SPECIAL_Belgium_Crop_2016.pdf
Château Special Belgium™ Nature,Belgium,Crystal,Castle Malting,Yes,94.2,131.8,126.84332,177.77628,0,11.5,76,1.0351196,4,10,"Château Special Belgium™ Nature can be used to produce a deep red to dark brown-black color and fuller body. Château Special Belgium™ Nature brings forth unique flavors and aromas, making it a powerhouse specialty malt. It gives intense color and raisin-like flavors while imparting a rich malty taste and a hint of nut and plum flavor as well. May substitute Chocolate and Black malt if bitterness is not desired. Organic abbey ales, organic dubbels, organic porters, organic brown ales, organic doppelbocks. ",https://bsgcraft.com/resources/Product_Sheets/Castle/SPECS_CHATEAU_SPECIAL_Belgium_Crop_2016.pdf
Château Black,Belgium,Roasted ,Castle Malting,No,507.4,507.4,686.56404,686.56404,0,11.5,73,1.0337333,4.7,6,The darkest malted barley from Castle.  Enhances the aroma of character beers by producing a more astringent flavor than other colored malts. Imparts a slight burnt or smoky flavor. Suitable for darker beer.,https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_black.pdf
Château Chocolat,Belgium,Roasted Malt,Castle Malting,No,300.6,375.6,406.43276,508.02776,0,11.5,75,1.0346575,5,7,"Château Chocolat malt is a highly roasted malt with a deep brown color. This is where its name comes from. Château Chocolat malt is used to adjust the color of beer and imparts a nutty, toasted flavor. Château Chocolat malt shares many of the characteristics of Black Malt but provides a less bitter flavor than Black malt and is lighter than Black, because it is roasted for a slightly shorter period of time and the end temperatures are not so high.Suitable in brown ales, strong ales, darker and black beers, such as porters and stouts",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Castle/castle_chocolat.pdf
Château Spelt,Belgium,Specialty/Adjunct,Castle Malting,Yes,1.7,3.2,1.54282,3.57472,,17,79.5,1.03673695,6,15,"Château Spelt is a pale, well-modified type of malt. Made from a hard-grained species of wheat (heirloom wheat), it has a higher protein level when compared to other wheat malts. Château Spelt malt imparts a sweet nutty flavor, adds a spicy aroma and an earthy character to your beer. Great for Belgian Saison and Wheat beer styles. Belgian saison, wheat beers, special beers",http://www.castlemalting.com/CastleMaltingMaltSpecification.asp?Command=QualityParameters2&SpecificationID=220&CropYear=2012&Language=English
Crisp Best Ale Malt,United Kingdom,Base,Crisp Malting Group,Yes,2.5,3.5,2.6265,3.9811,45 L,10.3,82,1.0378922,4.5,100,"Low protein barleys are sourced from local farmers who are in partnership with Crisp Malting Group through the ABC Grower Group and are qualified as the very  malting barley growers. During malting, high cast moistures and a balance of germination time and temperature guarantee an even, well modified malt which is ideally suited to ale brewing. The characteristic higher color and balanced sweet, malty flavor results in this malt being one of the most popular and distinctive malt styles. Crisp Malting Group  Ale Malt is suited to infusion mashing and top fermentation which typifies traditional ale brewing, but is also very well suited for ale brewing using more modern techniques",https://bsgcraftbrewing.com/crisp-pale-ale-25kg
Crisp Chevallier Heritage Malt,United Kingdom,Base,Crisp Malting Group,Yes,2.5,4,2.6265,4.6584,,,79,1.0365059,3.6,100,"A heritage barley variety combined with a traditional malting method and modern quality control. A mainstay of English barley production in the 19th century and an ancestor of many modern varieties, Chevallier has made a comeback thanks to increased interest in heritage malts. Crisp Chevallier is characterized by warm, cracker and biscuit aroma with a full flavor. Compared to many other modern barleys its aroma and flavor are quite pronounced. Suitable for any malt-forward ale, or where increased malt character is needed to balance a high hop load",http://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Crisp/6.1.17_CB-Crisp%20Chevallier%20Sell%20Sheet.pdf
Crisp Europils Malt,United Kingdom,Base,Crisp Malting Group,Yes,1.5,1.9,1.2719,1.81374,62,11,81.5,1.03766115,4.5,100,"Globally, Pilsen or lager-style beers are the dominant beer category.  These beer types demand a lower modified malt to complement the temperature programmed or decoction mashing regimes employed.Crisp Malting Group Europils Malt perfectly fits this requirement, being typically made from 2-row spring barley which is malted to give the required level of modification whilst maintaining a high level of homogeneity.  Careful control of kilning ensures the required low color is achieved. Europils malt has a higher protein content which ensures ample enzymatic capability which, combined with the high levels of free amino nitrogen present, assure excellent brewing performance even when un-malted adjuncts form part of the grist composition.",
Crisp Extra Pale Maris Otter®,United Kingdom,Base,Crisp Malting Group,Yes,1.5,1.9,1.2719,1.81374,47,10,81.5,1.03766115,3.5,100,"Crisp Malting Group have developed a low color (extra pale) Maris Otter® malt. This was originally developed for lower color beer production in traditional breweries where a higher level of modification is demanded for both efficient extract delivery and good brewhouse performance when using isothermal mashing. This malt is typified by moderate nitrogen/protein content, a moderate to high level of modification with flavors and color suited to the brewing of lagers and other pale beers such as golden ales.",http://www.crispmalt.co/uploads/product-range.pdf
Crisp Finest Maris Otter®,United Kingdom,Base,Crisp Malting Group,Yes,2.5,4.5,2.6265,5.3357,45,10,81.5,1.03766115,3.5,100,"The variety Maris Otter® was bred and developed in the 1960’s by Dr GDH Bell at the Plant Breeding Institute in Cambridge by crossing the varieties Proctor and Pioneer and has become one of the most enduring malting varieties in the history of modern barley cultivation. Maris Otter® has been grown for malting for more than 45 years and its pedigree and track record of delivering, year after year, consistent, processable and flavorful malt is unsurpassed.Crisp Malting Maris Otter® is grown under contact by selected Norfolk farmers and is recognized worldwide as the benchmark barley for the  ale malt. In malting, as with brewing, the importance and the quality of raw materials cannot be underestimated.The reliability of Maris Otter® malt quality has allowed brewers to develop, stabilize and maintain many of the world famous English cask conditioned ale brands we know today",https://bsgcraftbrewing.com/Resources/CraftBrewing/PDFs/Product_Sheets/Crisp/crisp_FinestMarisOtterAleMalt.pdf
Crisp No.19 Floor-Malted Maris Otter®,United Kingdom,Base,Crisp Malting Group,Yes,3,4,3.3038,4.6584,,,81.4,1.03761494,3.6,100,The quintessential and most traditional ale brewing malt. Crisp No. 19 Floor-Malted Maris Otter® (formerly Gleneagles Maris Otter®) is an English ale malt made from the famous Maris Otter® barley variety and malted in a traditional floor-malting facility,
Crisp Organic Ale Malt,United Kingdom,Base,Crisp Malting Group,Yes,2.5,4,2.6265,4.6584,,10,81.5,1.03766115,4,100,"Crisp Malting Group is fully approved to supply Organic Malt to the USA and has strict controls in place within the organic certified production plant to malt organic barley to the highest possible standard, whilst adhering to the appropriate organic standards.",
William Crisp Amber Malt,United Kingdom,Color,Crisp Malting Group,Yes,23,35,30.3958,46.651,20,,80,1.036968,3.2,10,"William Crisp Amber Malt is a kilned specialty malt. It has a strong biscuity, toasted grain flavor and imparts amber and copper hues. Amber malt is traditionally used in medium or dark English ales, especially brown ale, mild ale, and old ale. The dry taste of Amber malt is an excellent compliment to bitter hoppiness, making it a nice addition to IPAs",
William Crisp Dark Munich Malt,United Kingdom,Color,Crisp Malting Group,Yes,20,20,26.332,26.332,,,79,1.0365059,4.5,20,Munich Malt has its origins in Germany where traditional beers gained their rich malty character from the addition of specialist malts with enhanced color and flavor.  These products are made on a conventional malt kiln using processes that promote higher levels of soluble protein and simple sugars which interact when heat is applied to produce a product rich in melanoidins and other color and flavor compounds. The malty flavors associated with Munich Malt contrast with the caramel-like flavors associated with crystal malts and the golden to reddish hues of the color is popular in some beer styles.,https://bsgcraftbrewing.com/crisp-light-munich-malt-55lb
William Crisp Light Munich Malt,United Kingdom,Color,Crisp Malting Group,Yes,5,5,6.013,6.013,,,79,1.0365059,4.9,20,Munich Malt has its origins in Germany where traditional beers gained their rich malty character from the addition of specialist malts with enhanced color and flavor.  These products are made on a conventional malt kiln using processes that promote higher levels of soluble protein and simple sugars which interact when heat is applied to produce a product rich in melanoidins and other color and flavor compounds.The malty flavors associated with Munich Malt contrast with the caramel-like flavors associated with crystal malts and the golden to reddish hues of the color is popular in some beer styles.,https://bsgcraftbrewing.com/crisp-light-munich-malt-55lb
William Crisp Cara Malt 15L,United Kingdom,Crystal,Crisp Malting Group,No,10,20,12.786,26.332,,,76,1.0351196,3.2,25,"Used to adjust color and flavor of light colored beers, William Crisp Caramalt 15L provides subtle golden straw-like color, and slight sweetness when needed.  Perfect for American and English pale ales.  Caramalt 15L, like other crystal malts can aid in head retention and mouthfeel, helping to bring forth more body, and give otherwise light beers some shoulders.",https://bsgcraftbrewing.com/crisp-cara-malt-15-25-kg
William Crisp Crystal 60L,United Kingdom,Crystal,Crisp Malting Group,No,55,65,73.743,87.289,0,,76,1.0351196,3.2,20,"William Crisp Crystal 60 begins to bring forth deeper colors like copper, amber, and even ruby.  While assisting with mouthfeel, head retention, and body, this malt also imparts significant sweet and caramel flavors.  While appropriate for all English Ale styles, this malt is also suitable for American IPA’s, Browns, and other medium to dark beer styles. ",https://bsgcraftbrewing.com/crisp-crystal-45l-25-kg
William Crisp Crystal 77L,United Kingdom,Crystal,Crisp Malting Group,No,70,80,94.062,107.608,0,,76,1.0351196,3.2,20,"William Crisp Crystal 77L edges toward a darker crystal malt, perfect for imparting colors of deep golden to dark red; right in line with Amber ales or hoppy red IPA’s, but suitable for anything teetering towards “dark”.  Notes of caramel sweetness come through, while head retention, mouthfeel and body are also assisted.  The longer kilning of this malt also imparts some roasty notes within the malty sweetness. ",https://bsgcraftbrewing.com/crisp-crystal-77l-25-kg
William Crisp Crystal Extra Dark 120L,United Kingdom,Crystal,Crisp Malting Group,No,110,130,148.246,175.338,0,,76,1.0351196,3.2,10,"William Crisp Crystal Extra Dark 120L is a very dark crystal malt providing deep amber color.  This malt also imparts some unique flavors like caramelized sugar, and notes reminiscent of dark fruits.  Perfect for bigger, dark beers of English and American lineage.",https://bsgcraftbrewing.com/crisp-crystal-extra-dark-120l-55lb
William Crisp Crystal Light 45L,United Kingdom,Crystal,Crisp Malting Group,No,40,50,53.424,66.97,0,,76,1.0351196,3.2,25,"Provides sweet, caramel flavors and a golden hue. William Crisp Crystal 45L provides more color, more sweetness and hints of caramel to the table.  Much like other crystal malts, it also helps with head retention, mouthfeel and body.  This malt goes a long way, and is well suited for American Pale Ales, English Ales and IPA’s of both descents. ",https://bsgcraftbrewing.com/crisp-crystal-45l-25-kg
William Crisp Chocolate Malt,United Kingdom,Roasted,Crisp Malting Group,No,425,475,574.945,642.675,,,77,1.0355817,3,10,"William Crisp Chocolate Malt is a roasted specialty malt. It adds dark brown color and rich chocolate and coffee flavors. It has a smokey flavor and some bitterness, but is much mellower than black malt. Excellent for dark ales, porters, and stouts.",https://bsgcraftbrewing.com/crisp-pale-chocolate-25-kg
William Crisp Brown Malt,United Kingdom,Roasted ,Crisp Malting Group,No,60,70,80.516,94.062,0,,76.5,1.03535065,3,10,"William Crisp Brown Malt is roasted specialty malt. It has a strong, dark-toasted grain flavor, slightly nutty with a hint of bitter chocolate. Brown malt imparts dark amber to light brown hues. It is used in many older English ale styles, and is an essential ingredient for traditional porters.",https://bsgcraftbrewing.com/crisp-brown-25-kg
William Crisp Pale Chocolate Malt,United Kingdom,Roasted ,Crisp Malting Group,No,200,250,270.16,337.89,0,,77,1.0355817,3,10,"William Crisp Pale Chocolate Malt is a light-roasted specialty malt. Lighter in color and milder in taste than regular chocolate malt, Pale Chocolate has the nutty malt flavor of lighter toasted grains, but also some of the heavier flavor of darker roasted malt. Small quantities can be used to add color to dark beers. Larger quantities will add strong flavor and color, excellent in porters, browns and stouts.",https://bsgcraftbrewing.com/crisp-pale-chocolate-25-kg
William Crisp Black Malt,United Kingdom,Roasted Malt,Crisp Malting Group,No,580,630,784.908,852.638,,,75,1.0346575,3,10,"William Crisp Black Malt is roasted specialty malt.  This dark malt is used in smaller quantities to add color.  Flavor contributions are very subtle when used in smaller amounts. Black Malt is well suited for Stouts, or even as a malt to modify color on a Schwarzbier.",https://bsgcraftbrewing.com/crisp-black-55lb
William Crisp Roasted Barley,United Kingdom,Specialty,Crisp Malting Group,No,550,560,744.27,757.816,0,,76.5,1.03535065,3,10,"William Crisp Roasted Barley is a roasted, unmalted grain. It imparts dark brown color to the body and head of the beer. It has a distinctive roasted flavor and bitterness not found in similarly roasted, malted grain. Its unique 'bite' is a classic element in most stouts, and some nut brown, amber, and Scotch ales. Use moderately or heavily in stouts, or lightly in bitters and other dark beers.",https://bsgcraftbrewing.com/crisp-roasted-barley-25-kg
Crisp Malted Oats,United Kingdom,Specialty/Adjunct,Crisp Malting Group,Yes,1.3,,1.00098,-0.76,,,75.5,1.03488855,3.5,25,"In brewing, when mixed with barley malt, naked oat malt can improve mouthfeel and introduce notes of a toasted, biscuity aroma and palate. Naked oat malt can contribute beta-glucans, otherwise known as soluble fiber, to add an extra, health-promoting property.",https://bsgcraftbrewing.com/crisp-malted-oats-55lb
Crisp Organic Wheat Malt,United Kingdom,Specialty/Adjunct,Crisp Malting Group,Yes,2,3,1.9492,3.3038,,,83.5,1.03858535,6.5,55,"In brewing, wheat malt can be used as the base malt at around 55% inclusion for wheat beers and, when mixed with barley malt, wheat malt can improve head retention, improve mouthfeel and introduce flavor changes in other beer types.",
Crisp Rye Malt,United Kingdom,Specialty/Adjunct,Crisp Malting Group,Yes,6,10,7.3676,12.786,,,86.5,1.03997165,4.5,25,"In brewing, when mixed with barley malt, rye malt can improve head retention, improve mouthfeel and introduce flavor changes of a toffee/caramel note at lower inclusion rates and a spicy after-palate at higher inclusion rates. Most notably, rye malt will also impart a reddish hue to beers.",
Crisp Wheat Malt,United Kingdom,Specialty/Adjunct,Crisp Malting Group,Yes,1.5,2.5,1.2719,2.6265,,,84.5,1.03904745,6.5,55,"In brewing, wheat malt can be used as the base malt at around 55% inclusion for wheat beers and, when mixed with barley malt, wheat malt can improve head retention, improve mouthfeel and introduce flavor changes in other beer types.",
Pale Malt 2-Row,Belgium,Base,Dingemans,Yes,3.8,3.8,4.38748,4.38748,70,11.5,78,1.0360438,4.5,100,"Fully modified pale ale malt from Belgian two-row barley, easily converted by a single temperature mash. It is a good all-purpose pale malt, and great in Belgian ales.",http://www.northernbrewer.com/belgian-pale-ale-malt
Pilsner Malt,Belgium,Base,Dingemans,Yes,1.4,1.8,1.13644,1.67828,90 L,11.5,79,1.0365059,4.5,100,"This pilsner malt is produced from the finest European two-row. This malt is well modified and can easily be mashed at a single temperature. Carries a strong, sweet malt flavor.",https://www.midwestsupplies.com/maillard-malts-dingemans-pilsen-malt
Aromatic Malt,Belgium,Color,Dingemans,Yes,17,21,22.2682,27.6866,30 L,11.5,80,1.036968,4.5,10,A mildly kilned malt that has a strong malt aroma and rich color. Use 1-10%.,http://www.northernbrewer.com/belgian-aromatic-malt
Biscuit Malt,Belgian,Color,Dingemans,No,18,27,23.6228,35.8142,0,11.5,70,1.032347,4.5,10,"Biscuit malt from Dingemans is the quintessential biscuit malt. It will contribute toasted biscuit and bready flavors and aromas to beer. It is often described as warm, with its toasted bread flavors adding complexity to a range of different beer styles. A little can be used to round out flavors in lighter beers and add complexity, or a lot can be used to give brown ales and porters their signature nutty, rich flavors and enhance their aroma profiles. In larger amounts it will give beers a light to medium brown coloration. A wonderful malt all around!",http://shop.greatfermentations.com/product/dingemans-biscuit-malt/specialty-grains
Dingemans Munich Malt,Belgium,Color,Dingemans,Yes,4,7,4.6584,8.7222,,11.5,80,1.036968,4.5,80,"This Munich malt from Belgium is unique - it has the malty fullness of German Munich malt, but displays brighter flavors and less bready notes. Think honey and sweet cream. Can be used for up to 100% of the mash, but has relatively low diastatic power, and should be supplemented when used with unmalted adjuncts.",
Cara 20 (Caravienne) Malt,Belgium,Crystal,Dingemans,No,19,27,24.9774,35.8142,0,11.5,70,1.032347,7,15,"Dingeman's is one of Belgium's leading maltsters, known for their high-quality Belgian specialty malts, as well as excellent Belgian base malts. Caravienne is not synonymous with Vienna malt; it is a light crystal malt with slight toffee flavor characteristics. It is often used by Belgian breweries in the production of ales and trappist-style beers. However, it can be used in any recipe that calls for crystal malt. Use Dingeman's Caravienne to contribute sweet and toffee flavors to beer, as well as aid in body and head retentions.",http://shop.greatfermentations.com/product/dingemans-caravienne-malt/specialty-grains
Dingemans Cara 8 Malt,Belgium,Crystal,Dingemans,No,6,9,7.3676,11.4314,,11.5,65,1.0300365,9.5,30,"A very pale caramel malt. Contributes a subtle caramel flavor. The malting process creates a 'floury' endosperm that will yield fermentable sugars when mashed with base malts. Steep Caramel Pils in quantities under a pound to add a light caramel flavor, but mash it with other grains for the full effect.",
Dingemans Caramunich 45,Belgium,Crystal,Dingemans,No,40,54,53.424,72.3884,0,11.5,70,1.032347,5.5,15,"An excellent all-purpose caramel malt. Round, sweet character with toasty overtones and deep gold to copper color, depending on usage. Used extensively in amber and dark Belgian ales. We like it for amber and dark lagers as well.",http://www.northernbrewer.com/dingemans-cara-45-malt
Special B Malt,Belgium,Crystal,Dingemans,No,140,155,188.884,209.203,0,11.5,65,1.0300365,4.5,15,"Dingeman's Special B Malt is a dark crystal malt that is used in the production of Belgian style beers, such as Belgian dubbels and trappist high gravity ales. It is known for its rich and luscious flavor contributions, which are reminiscent of dark stone fruits. Cherries, raisins, plum and currant are terms often used when describing the flavors contributed by Special B. Because it is darker than many other crystal malts, it can begin to contribute roasted notes and dark brown to black colors without the usual bitterness that is attributed to dark roasted malts like chocolate or black patent. Use this not only in Belgian style ales, but any beer where are dark, fruity sweetness is desired.",http://shop.greatfermentations.com/product/dingemans-special-b/specialty-grains
Belgian Debittered Black Malt,Belgian,Roasted Malt,Dingemans,No,500,600,676.54,812,0,11.5,65,1.0300365,4.5,10,"This malt allows you to add the deep black color of Black Patent without the bitter, dark coffee-chocolate flavors. Use sparingly, just a couple of ounces will give your brew a deep red to black coloring. Use as you would black malt.",
Chocolate ,Belgium,Roasted Malt,Dingemans,No,300,380,405.62,513.988,0,11.5,65,1.0300365,5,5,"Dingemans Chocolate malt is a relatively high nitrogen malt that is roasted at high temperatures and then rapidly cooled when the desired color is achieved. Chocolate refers primarily to the malt's color, not its flavor. This malt will lend various levels of aroma, a deep red color, and a nutty/roasted taste, depending on the amount used",https://www.cargill.com/doc/1432081437752/malt-na-roasted-dingemans-chocolate.pdf
