Variety,Origin,Type,Alpha_Acid_LOW,Alpha_Acid_HIGH,Beta_Acid_LOW,Beta_Acid_HIGH,Total_Oil_LOW,Total_Oil_HIGH,Co_Humulone_LOW,Co_Humulone_HIGH,Myrcene_LOW,Myrcene_HIGH,Caryophyllene_LOW,Caryophyllene_HIGH,Humulene_LOW,Humulene_HIGH,Description,Aroma,Beer Styles,Substitutions
Zythos®,United States,Aroma,10,12.5,4.7,6.2,0.7,1.2,28,31,,,,,,,"*Designed to complement existing IPA and Pale Ale hop varieties, Zythos® is an excellent blend for any hop forward beer.","Pineapple, citrus and mild pine character","American Ale, IPAs, Pale Ales","Simcoe, Amarillo, Cascade"
Admiral,United Kingdom,Bittering,13.5,15.5,4.8,6,1,1.7,37,45,39,40,6,8,7,8,A high alpha hop with balanced bitterness and an acceptable aroma profile; a versatile replacement for both high alpha and dual purpose varieties.,"pleasant, resinous hop aroma with hints of citrus (orange) and herbal flavors.","English IPA, American IPA & Double IPA, Extra Special Bitter (ESB), Bitter, Pale Ales & Red Ales, India Red Ale & India Black Ale","First Gold, Target, Northdown, Challenger, Brambling Cross, Cascade, Amarillo"
Bravo,United States,Bittering,15,18,3.5,5.5,2.3,3.5,28,35,55,60,6,8,8,11,"Developed by Hopsteiner Breeding Company and released in 2006, Bravo is a second generation super-alpha variety. It is an excellent bittering variety but showcases pleasant fruit and sweet floral aroma characteristics too.","orange, vanilla and floral.","India Pale Ale, American Pale Ale, Extra Special Bitter","Columbus, Zeus, Apollo, Magnum, Nugget"
Brewers Gold,United States,Bittering,8,11,4,6.5,1.5,3,40,48,45,60,8,12,12,18,"Bred at Wye College in 1919, Brewer’s Gold is an ancestor to many major high alpha hops including Sterling, Galena, Horizon, Centennial and Nugget. It is an English variety, however American-grown Brewer’s Gold contains higher levels of alpha acids than its English counterpart.",blackcurrant and spicy,IPA,"Bullion, Cascade, Galena, Northern Brewer, Northdown"
Chelan,United States,Bittering,12,14.5,8.5,9.8,1.5,1.9,33,35,45,55,9,12,12,15,"Similar to Galena but with higher alpha acids, Chelan was developed by the John I Haas, Inc. breeding company and released in 1994.",mild floral and citrus characteristics,American Ale,"Galena, Nugget"
Columbus,United States,Bittering,14,16,4.5,5.5,1.5,2,30,35,25,45,8,12,15,25,"Originally selected by Charles Zimmerman for Hopunion, Inc., Columbus is a descendant of Nugget. It is a high alpha variety and is primarily used for bittering purposes. Columbus is often referred to as CTZ, a trio of similar hops including Tomahawk® and Zeus.","black pepper, licorice, curry and subtle citrus.","American Pale Ale, IPA's & Imperial IPA's, Imperial Red Ale, Imperial Brown Ale, Barley Wine, Stout, Lager","Zeus, Tomahawk, Chinook, Galena, Millennium, Nugget"
Comet,United States,Bittering,8,10.5,4,5,1.2,2,34,37,40,55,10,15,1,2,"Selected in 1961 and released in 1974 by the USDA, Comet was originally utilized for its high alpha acid content and adapability to growing conditions in the Yakima Valley. Commercial production ceased in the early 1980s in favor of newer super-alpha hops, however, Comet has made a recent comeback, finding favor with some brewers in dual purpose applications for its subtle and unique, wild American aroma.","subtle, wild American, grassy and grapefruit.","Lager, American Ale, India Pale Ale, Ale","Galena, Summit™"
Galena,United States,Bittering,12,14,7,9,0.9,1.2,38,42,55,60,3,5,10,15,"Developed by the USDA breeding program in Idaho in 1968 and released in 1978, Galena is a high alpha variety with increasingly popular aroma characteristics. It has moderate tolerance to downy mildew and is susceptible to powdery mildew, but has good pickability of medium size, compact cones.","weet fruits, pear, pineapple, blackcurrant, grapefruit, lime, gooseberry and spicy wood.","Imperial Stout, Stout, India Pale Ale, Barley Wine","Nugget, Columbus, Zeus, Chinook, Pride of Ringwood, Eroica, Newport, Cluster, Brewers Gold"
Green Bullet,New Zealand,Bittering,13,15,6.5,7,1.4,1.9,41,43,60,70,4,6,12,18,*Green Bullet is a triploid alpha variety bred by open cross pollination of the New Zealand Smoothcone variety. Used extensively as a utility brew house workhorse and found in breweries across the world. This “go to” hop is a traditional bittering type that now finds applications throughout the brewery from late additions through the hop back/ whirlpool and dry hopping.,"spicy, dried fruit, with lots of floral character that balance and complement pine, resin hop tones ","Bock, Saison, India Pale Ale","Liberty, Hallertauer, Crystal, Mount Hood, Ultra"
Hallertauer Taurus,Germany,Bittering,12,16,3.5,4.5,1.2,1.6,23,25,28,32,7,10,28,32,"*German born Hallertau Taurus features an earthy, strong aroma with hints of chocolate and banana, spice and pepper and finishes with a zesty curry undertone. It was released in 1995.","* Chocolate, banana, spice, pepper, curry","Schwarzbier, Oktoberfest","Hallertauer Magnum, Merkur, Hercules"
HBC 682,United States,Bittering,18,21,4.5,5.5,1,2,30,32,48,52,4.5,5.5,13,15,"*A descendant of HBC 463 and a UK male, HBC 682 is a super alpha hop cultivar still in the experimental phase. It has a mild and pleasant aroma with herbal, floral and spicy characteristics. When used as a bittering variety, HBC 682 provides a very neutral flavor and pleasant bitterness. In single hop applications, it has been described as having a strong earthy aroma. HBC 682 is currently available in limited quantities, and as a variety specific Resinate® CO2 Hop Extract product","strong, earthy, spicy, herbal",,
Herkules,Germany,Bittering,12,17,4,5.5,1.6,2.4,32,38,30,50,7,12,30,45,"*Bred at the Hop Research Center in Hüll, Germany, Herkules imparts robust, hoppy flavors.","robust, hoppy, with some citrus and melon",German ale,
Magnum,Germany,Bittering,12,14,4.5,5,1.9,2.3,24,25,30,35,8,12,34,40,"*Bred at the Hop Research Center in Hüll in 1980 and released in 1993, Magnum is a daughter of Galena. It is a high alpha variety with some spice and fruit characteristics","spicy, fruity, apple, pepper","*India Pilsner, Belgian India Pale Ale, American Ale, Blonde Ale, Pale Ale, Nut Brown Ale, Dark Ale, Pilsner, Bright Ale, Hefeweizen","Hallertauer Taurus, Columbus, Nugget"
Magnum,United States,Bittering,12,15.5,5.5,8,2,3,23,28,30,40,7,12,25,30,"*Bred at the Hop Research Center in Hüll in 1980 and released in 1993, Magnum is a German variety (also grown in the US) and daughter of Galena. It is a high alpha cultivar and is often used as the base bittering variety. Magnum does not display any distinct aroma characteristics, however, subtle spice and fruit characteristics have been noted by some brewers",bittering hop with no distinc aroma characteristics,"American Pale Ale, American India Pale Ale, Strong Ale, American Lager","Galena, German Magnum, Horizon, Northdown, Northern Brewer"
Merkur,Germany,Bittering,12,14,5,5.2,2.6,3,18,19,48,50,8,9,29,32,"*Bred at the Hop Research Institute in Hüll and registered in 2001, Merkur was the first mildew-resistant hop variety from the research center. It is a cross between Magnum and German experimental variety 81/8/13. It is a high alpha variety with low co-humulone oil percentages. In some dual purpose applications, Merkur displays subtle earth and citrus notes.","sugar, pineapple, mint","IPAs, Lagers, Belgian Ales","German Magnum, German Taurus, German Tradition"
Millennium,United States,Bittering,15.5,18.5,5,6.5,1.5,3,29,35,35,55,8,10,15,25,"*Bred by the John I. Haas breeding program and released in 2000, Millennium is a super-alpha variety with mild, herbal aromas. It is tolerant to downy mildew and powdery mildew, and has good pickability of medium size cones.","floral, fruity, herbal, resin, toffee and pear","Stout, Ale, American Ale","Nugget, Columbus, Summit™, CTZ"
Newport,United States,Bittering,13.5,17,7.2,9.1,1.6,3.3,36,38,47,54,4.5,7,9,14,"*Bred in 1992 by Oregon State University and released in 1992 through the USDA, Newport is a descendant of the classic bittering variety, Magnum. It offers high alpha acid, co-humulone and myrcene content, offering more distinct aroma characteristics than its parent. Newport is resistant to downy mildew and powdery mildew and has good pickability of medium to large size, loose cones.","earth, citrus, wine and balsamic","Pale Ale, American Lager","Brewer's Gold, Fuggle, Galena, Magnum, Nugget"
Nugget,Germany,Bittering,11.5,14,3,5,0.9,1.3,22,30,27,42,7,10,16,19,"*Developed through the USDA program at Oregon State University, Nugget is a high alpha variety that is tolerant to a range of soil conditions, generally producing a high yield.","mild, pleasant, herbal","IPA, Pale Ale, Blonde, American Wheat, ESB, APA, Imperial IPA, Irish Stout, Oktoberfest, Rye Ale, Best Bitter, EPA, Barley Wine, Strong Ale","Galena, Columbus, Tomahawk, Zeus, Hallerauer Magnum, Target"
Nugget,United States,Bittering,12,14,4,6,1.7,2.3,24,30,51,59,7,10,12,22,"*Nugget can be used as a bittering hop. It has pleasant, mild, herbal aromas.","mild, pleasant, herbal","India Pale Ale, Imperial India Pale Ale, Ales, Stouts, Barley Wines, Saisons, Biere de Garde","Galena, Magnum, Columbus"
Pacific Gem,New Zealand,Bittering,14,17,7.5,8.5,1.8,2.4,37,40,50,65,4,8,13,20,"*A triploid alpha type developed through the New Zealand Hop breeding program, Pacific Gem fills the brew house with enticing aromas during kettle addition and has been described as producing oaken flavors with a distinct blackberry aroma. It is typically used as a first hop addition and makes its presence felt through an excellent tempered bitterness and flavor while later additions deliver citrus and pine aroma notes. Pacific Gem is a good all purpose hop that delivers quality bitterness along with flavor and aromas. It is excellent in international lagers and can also be used in IPA’s and other big styles.","spicy black pepper and berry fruit aromas with subtle notes of blackberry, floral and oak","Strong Ale, European Lagers",Fuggle
Pacific Sunrise,New Zealand,Bittering,12.5,14.5,6,6.5,1.7,2,27,30,45,55,6,9,19,25,"*Released in 2000 by HortResearch in New Zealand, Pacific Sunrise’s take up by commercial breweries has been sluggish. Despite this, it features favorable bittering properties and a pleasant piney aroma. It is the result of a cross between the result of a European and New Zealand male on one side and a California Late Cluster and a Fuggle on the other.",pleasant pine aromas,Lager ,Pacific Gem
Southern Star,South Africa,Bittering,12,15.5,4.8,5.2,1.5,1.7,30,32,37,41,13,17,20,24,"*Released in 2001, Southern Star was developed in South Africa around 10 years after Outeniqua and Southern Promise. Like it’s two predecessors it is also considered a day neutral variety, meaning it can be grown in locations with reduced daylight. It is used primarily for bittering but also features a spicy, tangy flavor and some aroma.","spicy, tangy flavor with berry notes","Lager, Pale Ale, IPA, Stout, Barley Wine",Outeniqua
Summit™,United States,Bittering,15,17,5,5,1.5,3,29,32,30,40,12,16,18,22,"*Bred by the American Dwarf Hop Association and released in 2003, Summit™ is a cross between Lexus and an unspecified male derived from numerous hops including Zeus, Nugget and male USDA varieties. It is the first dwarf hop to be bred for production in the United States. Summit™ is mainly used as a bittering hop, but does have earthy aromatic characteristics and subtle hints of citrus.","pepper, incense, anise, orange, pink grapefruit and tangerine","IPAs, Imperial IPAs, Pale Ales, Stouts, Barley Wines","Apollo, Bravo,CTZ, Zeus,Warrior, Simcoe"
Sun,United States,Bittering,12,16,4.5,7,2.5,5,30,40,55,70,5,10,10,15,"*Currently considered as in-development at the S. S. Steiner Hop Farms in Washington State, Sun has not yet been registered or acquired USDA accession. Not much is known about its lineage yet but it is thought to be derived from Brewer’s Gold and sister to Zeus. It has also been suggested that it possesses characteristic similarities to Galena. What little we do know about the variety includes its classification as a high-alpha varietal, though not as high as Zues and that it exhibits very strong yield potential. ",herbaceous aroma and flavor,"Barley Wine, Imperial Stout","Magnum, Galena, Zeus"
Target,United Kingdom,Bittering,9.5,12.5,4.3,5.5,1.2,1.4,35,39,45,55,8,10,17,22,*a flexible hop,"green sage, spicy and peppery, and hints of citrus marmalade","Bitter, Pale Ale, Kentish Bitter, India Pale Ale, Brown Ale, American Lager","Fuggle, Willamette"
Tomahawk®,United States,Bittering,15,17.5,4.6,6,2.5,4.5,28,30,45,55,6,10,9,14,"*Bred by Chales Zimmermann, Tomahawk® Brand F10 cv. was the first commercially grown “Super Alpha” variety. It is tolerant to downy mildew, but susceptible to powdery mildew and features good pickability of large, compact cones. Tomahawk is often referred to as CTZ, standing for Columbus, Tomahawk®, and Zeus.","pungent, herbal, spicy, black pepper, licorice, curry and subtle citrus","US IPAs, US Pale Ales, Stouts, Barley Wines, Lagers","Centennial, Chinook, Galena, Nugget, Millennium"
Victoria,Australia,Bittering,14,15,6,8,1.6,2,38,40,30,45,9,11,14,16,"*Vic Secret had her first commercial harvest in 2013. Developed in 2000 in Victoria, Australia alongside sister variety Topaz, Vic Secret features elements of tropical fruit, herbs and pine with clean notes of pineapple and passionfruit. Tested abundantly by brewers, Vic Secret’s is best utilized via whirlpool and dry hopping. It is also worth noting that late kettle additions impart a wonderful earthiness, but the fruitiness doesn’t come through.","tropical fruit, pine, herbal","Pale Ale, IPA, Stout, Porter, Red Ale, Barley Wine, Imperial IPA, Extra Pale Ale, Golden Ale",Galaxy
Warrior®,United States,Bittering,15,17,4.5,5.5,1,2,24,26,40,50,8,10,15,20,"*Developed by Select Botanicals Group, Warrior® Brand YCR 5 was selected for its high alpha content, low co-humulone, good storage stability and tolerance to powdery mildew. It is primarily used in brewing for its mild, clean bittering properties and has good pickability of a medium size cone in the field.","mild, resinous and subtle pine.","India Pale Ale, American Ales","Nugget, Columbus"
Zeus,United States,Bittering,12,18,4,6,1,2,27,35,25,65,5,15,10,25,"*Although genetically different, Zeus is often referred to as part of CTZ along with Columbus and Tomahawk®, a trio of similar hops.","spicy, herbal, pungent, black pepper, licorice, and curry","*US IPAs, US Pale Ales, Stouts, Barley Wines, Lagers","Columbus,Centennial, Chinook, Galena, Nugget, Millennium"
Bitter Gold,United States,Dual Purpose,12,14.5,4.5,6,1,2,36,41,45,55,7,11,10,18,"Released in 1999, Bitter Gold is a high alpha variety with excellent aroma capabilities. Its lineage includes Brewer's Gold, Bullion, Comet and Fuggle. Bitter Gold offers limited aroma when used as a bittering hop but delivers diverse stone and tropical fruit flavors in later additions.","pear, watermelon, stone fruit and fresh cut grass.","Ale, Lager, Pilsner, Bitter, India Pale Ale","Galena, Nugget"
Bramling Cross,United Kingdom,Dual Purpose,6,7.8,2.2,2.8,0.8,1.2,26,31,35,40,14,18,28,33,Developed at Wye College by Professor Salmon. Often used in traditional cask conditioned beers due to its distinct characteristics.,"strong spice, blackcurrant, loganberry and lemon","ESB, bitter, pale ale","U.K. Kent Golding, U.K. Progress, Whitbread Golding Variety	"
Celeia,Slovenia,Dual Purpose,3,6,2,3.3,0.6,3.6,26,29,26,35,8,9,18,23,"A hybrid of Styrian Golding, Aurora and a Slovenia wild hop, Celeia is known for its noble characteristics. It has widespread usage in lager and ale-style beers.",noble characteristics.,"English Ale, Lager, American Lager, Pilsner, English Ale, Extra Special Bitter","Saaz, Bobek, Styrian Golding"
Centennial,United States,Dual Purpose,9.5,11.5,3.5,4.5,1.5,2.3,29,30,45,55,5,8,10,18,"Bred in 1974 and released by Washington State University in 1990, Centennial is an aroma-type cultivar that has found favor as one of the most popular varieties in craft brewing. It is often referred to as a super-Cascade (containing nearly double the alpha content) and can be used for bittering purposes. Centennial is a diploid cross between Brewer's Gold and a USDA male.",lemon and floral,"Pale Ale, Amber Ale, American IPA, American Blonde, American Stout, American Wheat, Double IPA, Barley Wine, Red Ale","Cascade, Amarillo, chinook, Simcoe"
Challenger,United Kingdom,Dual Purpose,6.5,8.5,2.5,4.5,1,1.5,20,25,30,42,8,10,25,32,"Bred at Wye College and introduced in 1972, Challenger is a granddaughter of Northern Brewer and niece of Northdown. It is a versatile variety with wide application in both early and late kettle additions.","cedar, green tea and sweet fruit","Golden Ale, Barley Wine, Imperial Stout","Perle (US), Northern Brewer, Admiral"
Chinook,United States,Dual Purpose,12,14,3,4,1.5,2.5,29,34,35,40,9,11,20,25,"Developed by the USDA breeding program in Washington State and released in 1985 as a high alpha bittering variety, Chinook is a cross between Petham Golding and a USDA male. In recent years, it has found favor as a dual purpose hop in the craft brewing community as a result of its spice and pine aroma characteristics.","grapefruit, spice, and pine","American Pale Ale & India Pale Ale, American Stout & Porter, American Amber, American Brown, American Barley Wine, American Lagers, Winter Ale",
Cluster,United States,Dual Purpose,5.5,8.5,4.5,5.5,0.4,0.8,36,42,45,55,6,7,15,18,"Cluster is one of the oldest hop varieties grown in the United States and until the late 1970s, accounted for the majority of the country’s hop acreage. Its pedigree is unknown, however hybridization of imported varieties and indigenous male hops has been suggested. Cluster is an excellent dual purpose hop and is often used in the reproduction of historical beer styles.","floral, earthy and sweet fruit","Barley Wine, Porter, English Pale Ale, Amber Ale, Honey Ale, Cream Ale, American Lager","Eroica, Galena"
Dr. Rudi,New Zealand,Dual Purpose,10,12,7,8.5,1.3,1.3,33,36,29,30,10.1,10.1,33.2,33.2,"Developed at the New Zealand Horticultural Research Centre (now New Zealand Institute for Plant and Food Research) and released in 1976 as Super Alpha, Dr. Rudi is a triploid variety bred from New Zealand Smoothcone. Its name was changed to Dr. Rudi in 2012. Dr. Rudi works well in single-hopped beers or in conjunction with multiple aroma varieties.","resin, pine, and lemongrass.","Lager, India Pale Ale",Green Bullet
Ella,Australia,Dual Purpose,13.3,16.3,4.8,7.8,2.4,3.4,34,38,40,50,12,18,16,22,"Reminiscent of, yet distinctly different from, noble European varieties - one of the most versatile hops available.",distinct grapefruit and tropical flavor,"Lager, Pilsner, Pale Ale, Stout","Perle, Palisade"
First Gold,United Kingdom,Dual Purpose,5.6,8.7,2.4,3.6,0.7,1.5,29,34,27,28,6,7,20,24,"Bred at Wye College in 1995, First Gold is a cross between WGV (Whitbread Golding Variety) and a dwarf male. It features many of the flavor characteristics of WGV and has found favor in both general kettle and late or dry hopping applications.","smooth, with tangerine, orange marmalade, apricot, geranium and magnolia.","Porter, English Bitter, Wheat Beer, Celtic Ale, Summer Ale, Amber Ale, Dark Amber Ale, India Pale Ale, Imperial India Pale Ale","Willamette, East Kent Golding, Styrian Golding"
Fuggle,United Kingdom,Dual Purpose,3,5.5,2,3,0.7,1.4,29,30,24,28,11,13,34,40,"The most revered and famous English hop, known for its full bodied flavor in traditional ales.","delicate and pleasant mint, grass and floral tones.","English Ale, Porter, Mild Ale, Bitter, Extra Special Bitter, Lambic, Amber Ale, Cask Ale, Stout, Oatmeal Stout, Strong Ale, Nut Brown Ale, Golden Ale, Christmas Ale","Fuggle (US), Willamette, Styrian Golding, Tettnanger, Newport"
Galaxy,Australia,Dual Purpose,11.6,16,5,6.9,3,5,32,42,33,69,7,9,1,2,Typically used as a late addition - the aroma and flavor characteristics become more pronounced the later the addition.,distinct passionfruit and clean citrus aromas,"Pale Ale, India Pale Ale, ESB","Citra®, Amarillo®, Centennial"
Glacier,United States,Dual Purpose,3.3,9.7,5.4,9.5,0.7,1.6,11,13,33,62,6,10,24,36,"Released in 2000 by Washington State University, Glacier is an offspring of French Elsasser, Brewer's Gold and Northern Brewer. It was selected for its good yield potential and low co-humulone, providing smoothness and balanced bitterness in beer","plum, blackberry and wood","Extra Special Bitter, India Pale Ale, Wheat Beer, American Pale Ale","Willamette, Fuggle (US), Tettnanger (GR), Golding (US)"
Hallertau Aroma,New Zealand,Dual Purpose,7,10,7.5,9,1.5,2,28,32,45,65,4,7,8,17,*A dual purpose hop which has been used to replace Perle,subtle floral with aroma of fresh zested lime,"Pale Ale, Pilsner, Lager, Bitter, Bock",Hallertauer Mittelfruh
HBC 431,United States,Dual Purpose,14,16,4,5,1.5,1.5,18,18,33,37,13,14,22,26,"Interestingly, it carries the highest xanthohumol content of any hop. Xanthohumol is a potent antioxidant, 200 times more powerful than antioxidants found in red wine. Used in Paulaner’s hop selection for their Oktoberfest bier","peach, berry, tropical fruit, citrus and herbal.",,
HBC 438,United States,Dual Purpose,12.4,14.9,5.1,6,3,3.4,23,25,61,66,9.7,10.5,8.5,8.7,"Developed by Hop Breeding Company, HBC 438 is an experimental variety originating from the open pollination of YCR 123, a cultivar derived from the subspecies neomexicanus. It is the sister to the well-known experimental HBC 472 and exhibits many of the same characteristics. Specific aroma descriptors include mango, coconut, grapefruit, lemon grass and wood. Vinnie Cilurzo and Russian River Brewing Company created Ron Mexico, a special HBC 438 beer exclusive. ","peachy stone fruit, tropical pineapple, and lime with herbal notes of cedar and coconut; exceptionally distinct and pleasant.",,
Helga,Australia,Dual Purpose,5.4,7.3,5,7,0.6,1,20,23,1,13,10,15,35,55,"*Bred in 1986 and formerly known as Southern Hallertau, Helga™ is a descendant of Hallertau Mittelfrüh. Its brewing characteristics resemble that of its parent, however it demonstrates a forgiving and refined character in a variety of beer styles and hop applications.","pleasant, noble characteristics, herbal, earthy",Ales,Hallertau
Herald,United Kingdom,Dual Purpose,11,13,4.8,5.5,1,1.9,35,37,38,42,5,9,13,17,"Herald hops were one of a first wave of dwarf hops introduced to the industry. It was released in 1996 alongside sisters Pilgrim and Pioneer. Some brewers were initially reluctant to use Herald despite its clean bitterness and a nice nose of orange and grapefruit. Today Herald is employed by a multitude of craft breweries, particularly in the UK","orange, grapefruit aromas","Pale Ale, Golden Ale",Pioneer
Horizon,United States,Dual Purpose,10.2,16.5,6.5,8.5,1.5,2.7,17,22,65,70,5,6,8,10,"*Bred in Oregon in 1970 and released in 1997, Horizon is a descendant of Brewer's Gold and half-sister to Nugget. Its low co-humulone is similar to noble varieties and provides smoothness to beer, however alpha acid levels can reach as high as 12%. Horizon can be utilized in every stage of the brewing process.","floral, spicy","Light Ale, Red Ale, Pumpkin Ale",Hallertauer Magnum
Hüller Bitterer,Germany,Dual Purpose,5,6.3,4.8,5.2,1.3,1.7,27,30,27,29,7,9,20,22,"*Developed in the late 1960’s and released in 1978, Hüller Bitterer has the distinction of being the first wilt resistant variety to come from the German Hüll hop breeding program. Descended from Northern Brewer, it is an excellent dual-use hop and is still known for its clean bittering character. In commercial use, it has now largely been replaced with other wilt resistant varieties, specifically Perle.",n/a,"Schwarzbier, Lager",
Kohatu,New Zealand,Dual Purpose,6,7,4,5,1,1,20,22,35,36,11.5,11.5,36,37,"*Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2011, Kohatu is a descendant of Hallertau Mittelfrüh. It works well in single hop applications and is described as having intense fruit characteristics",fresh tropical fruit characters and an excellent finish and bitterness.,"Ale, Pale Ale, India Pale Ale","Wai-iti, Motueka"
Loral®,United States,Dual Purpose,11.3,12.2,4.9,5.3,1.8,2.9,21,24,52,58,5,5.7,17.8,17.9,"*Developed by Hop Breeding Company and released in 2016, Loral® Brand HBC 291 has a noble heritage that straddles the fence between old and new world hop aromatics. It has the ability to complement all beer styles, making it a very versatile hop in the brewery. Loral® has been described as pleasant with floral, citrus, peppery and some dark fruit characteristics","very pleasant, floral, peppery, lemon-citrus and dark fruit, herbal","IPA, APA, American Wheat Ales",
Marynka,Czech Republic,Dual Purpose,9,12,10.2,13,1.8,2.2,26,33,28,31,10,13,26,33,"*Marynka hops are another widely produced Polish hop from the region as Lublin. It is moderate in most things: yield, growth, stability, but her flavor profile is way above average. Despite being used primarily for bittering, Marynka features a forward, earthy and herbal flavors and aromas. It is the offspring of Brewer’s Gold and was official registered in 1988.","earthy, herbal","Bitter, India Pale Ale, Pale Ale, Pilsner",Tettnanager(GR)
Mount Rainier,United States,Dual Purpose,5,7,8,10,1.5,2.5,21,23,50,60,6,10,15,20,"*Bred by Oregon State University, Mt. Rainier is a dual purpose variety with noble aroma characteristics. It is similar to the classic German variety, Hallertau Mittelfrüh, but features more bittering strength.","noble, licorice, floral","Lager, American Ale, Porter","Hallertau, Fuggle"
Nelson Sauvin,New Zealand,Dual Purpose,12,14,6,8,1.7,2,22,26,50,60,5,8,15,25,"*Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2000, Nelson Sauvin is a triploid variety bred from the New Zealand Smoothcone and a selected New Zealand male. It is known for being one of the most unique hop varieties, displaying strong fruit and white wine aroma characteristics.","white wine, fruity, crushed gooseberry, and grape","American Pale Ale, India Pale Ale, Pale Ale","Pacific Jade, Pacifica"
Northdown,United Kingdom,Dual Purpose,6.8,9.5,3.3,6.2,1.2,2.2,24,30,23,29,13,17,40,45,"*An excellent dual purpose hop that works well on its own, or in conjunction with an aroma variety.","pleasant spice cedar, pine, subtle floral and hints of berry",Blonde Ale,"Challenger, Admiral, Target"
Northern Brewer,Germany,Dual Purpose,6,10,3,5,1,1.6,27,32,25,45,10,20,35,50,"*Originally bred in England in 1934, Northern Brewer is a cross between Canterbury Golding and a male seedling of Brewer's Gold. It was originally grown in the North of England, but has become one of the main varieties in the Hallertau region of Germany. Northern Brewer displays pleasant pine and mint characteristics in dual purpose brewing applications.","mint, pine and grass","Steam Beer, German Ale, German Lager","Perle, Northern Brewer(US)"
Northern Brewer,United States,Dual Purpose,7,10,3.5,5.5,1,2,30,34,35,45,11,15,27,31,"*Bred in England in 1934 from a Canterbury Golding plant and male seedling of Brewer's Gold, Northern Brewer is mainly grown in the United States and Germany. US Northern Brewer contains slightly higher alpha acids and high myrcene oil content resulting in herbal, wood and peppery aroma characteristics; it is suitable for any stage of the brewing process.","evergreen, wood and mint","Porters, Ales, Kolsch, Munich Helles, ESBs, German Lagers, Steam beers,","Galena, Perle, Magnum, Chinook, German Northern Brewer"
Opal,Australia,Dual Purpose,13,14,3.5,4,0.9,1.1,28,34,30,45,9,11,20,25,"*Developed at the Hüll Research Center, Opal exhibits excellent aroma characteristics combined with a respectable alpha acid level.","spice, pepper, citrus, with fruity, floral and herbal characteristics","Pilsner, Hefeweizen, Helles, Lager, Brown Ale, Saison, Tripel, Wheat, Kolsch, Blonde Ale","East Kent Golding, Styrian Golding"
Orion,Germany,Dual Purpose,6,8.5,3.2,4.2,0.9,1.1,27,30,25,28,10,12,35,39,"*The German Hop Research Institute in Huell, Germany developed Orion hops sometime during the 1980s. It is the result of a cross between Perle and a German male. To date Orion is not widely produced and mostly relegated to Germany. Its pleasant European bittering and aroma qualities have made it popular for German Helles-type beers, which were originally brewed to compete with Czech Pils. It has a very low cohumulone content and high myrcene. The other oils are in fair balance. This variety is not easy to find commercially.",,"Helles, Dunkel",Perle
Outeniqua,South Africa,Dual Purpose,12,13.5,4.1,5.1,1.5,1.7,28,30,38,43,9,10,28,33,"*Mild, pleasant and slightly spicy, Outeniqua is an excellent, high alpha bittering hop from the land of milk and honey—a moniker of the South African region where it is grown. Primarily used only locally, Outeniqua features a well-balanced oil profile and a strong, punchy, hoppy aroma. Outeniqua is also the mother of high-alpha variety, Southern Star.","strong, punchy, hoppy aroma",Pilsner,Southern Star
Pacific Jade,New Zealand,Dual Purpose,12,14,7,8,1.4,1.4,23,25,33,34,10.2,10.2,32.9,32.9,"*Developed by the New Zealand Institute for Plant and Food Research hop breeding program and released in 2004, Pacific Jade is a cross of New Zealand First Choice (a relative of the Late Cluster) and a Saaz male. It is suited for use as a bittering hop but also delivers bold citrus and spice aroma characteristics","fresh citrus, complex spice characters, bold herbal aromas, subtle black pepper","Lagers, Ales,Pale Ale, India Pale Ale","Hallertau, Magnum"
Perle,Germany,Dual Purpose,5,7.5,3,4,0.9,1.3,28,32,17,25,8,10,30,38,*Perle is a highly acceptable aroma variety with high yields and good tolerance to most diseases.,"herbal, spicy with subtle floral, fruit and mint ","Hefeweizen, Belgian Strong Ale, Lager, Pilsner, Kölsch","Perle (US), Northern Brewer (GR)"
Perle,United States,Dual Purpose,7,9.5,4,5,0.7,0.9,27,32,45,55,10,12,28,33,"*Bred at the Hop Research Institute in Hüll and released in 1978, Perle is a cross between Northern Brewer and 63/5/27M. It is tolerant to most diseases and is grown in both Germany and the United States. Perle is known for adding a traditional, German-like quality to beer.","floral, spicy","Hefeweizen, Belgian Strong Ale, Lager, Pilsner, Kölsch","Perle (GR), Northern Brewer (GR)"
Phoenix,United Kingdom,Dual Purpose,12,15,3.3,5.3,1.3,2.5,24,28,24,32,8,10,25,32,"*Bred at Wye College and released in 1996, Phoenix is a seedling of Yeoman. In brewing trials, Phoenix has produced excellent results in both bittering and flavor applications.","spicy, floral and chocolate","India Pale Ale, Bitter, Golden Ale, Triple India Pale Ale, English Ale, Extra Special Bitter, Stout, Brown Ale","Northdown, Challenger, East Kent Golding"
Pilgrim,United Kingdom,Dual Purpose,10,13,4.2,5.2,1.6,2,36,38,25,35,7,8,15,19,"*Often compared to UK Target, Pilgrim performs well as a replacement for high alpha or dual purpose hops.","fruit and spice with pleasant lemon, grapefruit, pear and berry flavors","English Pale Ale, India Pale Ale, Wheat Beer, Stout, Barley Wine, Imperial Stout","Target, Pioneer, Challenger"
